name,jibun_Address,road_Address,postcode
진영식당,대전 서구 용문동 592-5,대전 서구 도산로369번길 17(용문동),35300
소망식당,대전 서구 변동 47-4,대전 서구 변동로 72(변동),35316
흑석산장식당,대전 서구 흑석동 643-4,대전 서구 세점길 130(흑석동),35426
늘봄유기농우렁쌈밥,대전 서구 도마동 358-5,대전 서구 배재로 118(도마동),35338
국수다움,대전 서구 월평동 550,대전 서구 한밭대로592번길 23(월평동),35223
두울샤브칼국수,대전 서구 탄방동 789,대전 서구 문정로90번길 15(탄방동),35263
횡성생고기,대전 서구 월평동 846,대전 서구 월평중로 8(월평동),35224
명지식당,대전 서구 변동 49-14,대전 서구 도산로 190(변동),35316
한솥도시락 배재대앞점,대전 서구 도마동 25-1,대전 서구 배재로 170(도마동),35329
호박꽃,대전 서구 갈마동 982,대전 서구 대덕대로151번길 23(갈마동),35271
신당동 옛날떡볶이 식당,대전 서구 둔산동 1833,대전 서구 문정로170번길 204(둔산동),35250
경성각,대전 서구 갈마동 1350,대전 서구 갈마로147번길 51-17(갈마동),35266
이정표 식당,대전 서구 도마동 86-101,대전 서구 도마6길 178(도마동),35331
박통5080막걸리,대전 서구 월평동 229,대전 서구 청사서로54번길 17(월평동),35213
대덕닭도리탕,대전 서구 월평동 972,대전 서구 월평중로13번길 29(월평동),35225
회랑참치,대전 서구 월평동 876,대전 서구 월평중로13번길 9-17(월평동),35225
오땅비어,대전 서구 월평동 867,대전 서구 월평중로 7-1(월평동),35225
고기향기,대전 서구 괴정동 423-13,대전 서구 도솔로388번길 40(괴정동),35299
개장산식당,대전 서구 변동 41-21,대전 서구 변동로 105(변동),35317
새벽산꼼장어,대전 서구 월평동 230,대전 서구 청사서로54번길 11(월평동),35213
마라양스토리,대전 서구 월평동 236,대전 서구 월평북로 83(월평동),35213
물방아 식당,대전 서구 변동 41-4,대전 서구 변동로 99(변동),35317
우리집 삼식이무침,대전 서구 둔산동 1185,대전 서구 둔산남로9번길 87(둔산동),35234
끼리끼리,대전 서구 둔산동 1945,대전 서구 문정로170번길 193(둔산동),35250
범이네숯불구이,대전 서구 갈마동 1049,대전 서구 대덕대로 159(갈마동),35271
연우수산회 도매센터,대전 서구 도마동 87-8,대전 서구 도마5길 45(도마동),35331
한잔더,대전 서구 용문동 241-4,대전 서구 탄방로 108(용문동),35307
우리집식당,대전 서구 갈마동 1418 큰마을아파트,"대전 서구 대덕대로 150(갈마동, 큰마을아파트)",35265
맛커피,대전 서구 장안동 287-3,대전 서구 장안로 354-20(장안동),35428
농도원생고기,대전 서구 도마동 63-26,대전 서구 조달청길 55(도마동),35333
김형제고기의철학,대전 서구 둔산동 1450,대전 서구 둔산중로46번길 38(둔산동),35241
왔다삼겹살,대전 서구 갈마동 377-38,대전 서구 신갈마로 141(갈마동),35277
벌곡상회,대전 서구 도마동 133-19,대전 서구 도마시장2길 49(도마동),35332
내고향제주,대전 서구 도마동 47-11,대전 서구 도솔로 125(도마동),35337
가조쿠,대전 서구 갈마동 967,대전 서구 계룡로416번길 51(갈마동),35271
엄마밥상,대전 서구 도마동 129-1,대전 서구 도마5길 6(도마동),35332
청솔생삼겹살타운 식당,대전 서구 탄방동 65-2 리치빌,대전 서구 남선로9번길 9(탄방동),35255
정이품,대전 서구 정림동 610 무지개종합시장,대전 서구 정림동로7번길 22(정림동),35396
진영식당,대전 서구 정림동 162-3,대전 서구 정림동로20번길 2(정림동),35396
리오 식당,대전 서구 탄방동 1192,대전 서구 남선로59번길 40(탄방동),35252
바다회상(판옥선),대전 서구 둔산동 917,대전 서구 청사로 220(둔산동),35209
주식회사 미가미,대전 서구 탄방동 1018,대전 서구 문정로122번길 9(탄방동),35256
다래곱창,대전 서구 월평동 871,대전 서구 월평중로 3-1(월평동),35225
